,대표코드,품명,품번,경면(전면),임가공처
189,A3-32,Chesterfield Oak,14-10233-004,UK,목림
190,B43-283,Chesterfield Oak,14-10233-004,목림246,목림
191,A4-649,Chesterfield Oak,14-10233-111,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
192,A3-184,Chesterfield Oak,14-10233-111,UK,목림
193,B45-187,Chesterfield Oak,14-10233-111,L,건창기업
194,A3-301,Chesterfield Oak,14-10233-136,UK,목림
195,B45-857,Beaufort Oak,14-10239-001,L,
196,A3-424,Beaufort Oak,14-10239-001,UK,목림
197,A3-742,Creso Oak,14-10244-103,UK,목림
198,B11-81,Creso Oak,14-10244-103,PM,"목림, 건창기업"
199,B39-1,Creso Oak,14-10244-103,TK,목림(유사 J)
200,A3-510,Salinas Eiche,14-10246-100,UK,목림
201,A3-511,Salinas Eiche,14-10246-121,UK,목림
202,B45-318,Salinas Oak,14-10246-136,L,건창기업
203,B43-11,Salinas Oak,14-10246-136,목림246,목림
204,A3-198,Rovere Kendal,14-10263-003,UK,목림
205,A3-512,Riviera Oak,14-10300-108,UK,목림
206,B3-858,Catania Oak,14-10332-132,UK,
207,B45-194,Catania Oak,14-10332-132,L,건창기업
208,A3-187,Belfort Oak,14-10337-102,UK,목림
209,B3-671,Beaufort Oak CN,14-10339-001,UK,
210,A3-513,Canyon Monument Oak,14-10347-001,UK,목림
211,HF4-42,Canyon Monument Oak,14-10347-001,BF,
212,A3-503,Canyon Monument Oak CN,14-10347-103,UK,목림
213,A3-308,Canyon Kalk Eiche Astlos CN,14-10355-100,UK,목림
214,HF2-12,Canyon Kalk Eiche Astlos CN,14-10355-100,NM,메라톤
215,B3-216,canyon kalkeiche astlos,14-10355-103,UK,목림
216,B3-748,Rovere Kendal,14-10363-115,UK,목림
217,B3-529,Life Oak CN III,14-10367-102,UK,
218,A3-386,Armagh Oak excl. CN,14-10394-106,UK,목림
219,A3-385,Armagh Oak excl. CN,14-10394-108,UK,목림
220,A3-410,Armagh Oak excl. CN,14-10394-109,UK,목림
221,A3-387,Armagh Oak excl. CN,14-10394-110,UK,목림
222,A7-404,Borders Oak excl. CN,14-10395-104,민자,"목림,승은산업,건창기업,제이제이 데코 등"
223,A3-403,Borders Oak excl. CN,14-10395-104,UK,목림
224,A3-361,Cadiz Oak,14-10407-103,UK,목림
225,B39-91,Canyon Flagstaff Oak,14-10412-001,TK,목림(유사 J)
226,B3-150,Canyon Flagstaff Oak,14-10412-001,UK,목림
227,B39-92,Canyon Flagstaff Oak,14-10412-004,TK,목림(유사 J)
228,B39-93,Delano Oak,14-10418-001,TK,목림(유사 J)
229,B3-148,Delano Oak,14-10418-001,UK,목림
230,HF2-27,Delano Oak,14-10418-003,NM,메라톤
231,B3-114,Delano Oak,14-10418-003,UK,목림
232,B39-94,Delano Oak,14-10418-003,TK,목림(유사 J)
233,B45-466,Delano Oak,14-10418-003,L,
234,B45-197,Canyon Amundsen Oak,14-10428-001,L,건창기업
235,A3-248,Canyon Amundsen Oak,14-10428-001,UK,목림
236,A3-249,Biscaya Oak,14-10434-001,UK,목림
237,B45-195,Biscaya Oak,14-10434-001,L,건창기업
238,A25-278,Biscaya Oak,14-10434-001,J,건창기업(유사 TK)
239,A3-305,Cornwall Oak,14-10440-003,UK,목림
240,A3-384,Canyon Waterford ,14-10455-002,UK,목림
241,B3-54,Svendborg Eiche,14-10473-999,UK,목림
242,A14-126,Genuine Oak,14-10675-002,WT,목림
243,HF2-25,Garden Oak,14-10735-001,NM,메라톤
244,B3-97,Garden Oak,14-10735-001,UK,목림
245,HF2-26,Garden Oak,14-10735-003,NM,메라톤
246,B3-98,Garden Oak,14-10735-003,UK,목림
247,B3-149,Flagstaff Oak,14-10778-003,UK,목림
248,B3-96,Flagstaff Oak,14-10778-006,UK,목림
249,C45-131,Life Oak II,14-10946-101,L,
250,A3-929,Life Oak,14-10946-104,UK,목림
251,A3-857,Life Oak,14-10946-106,UK,목림
252,B25-886,Life Oak II,14-10946-109,J,
253,B3-670,Life Oak II,14-10946-109,UK,
254,A25-835,Life Oak,14-10946-116,J,건창기업(유사 TK)
255,B45-41,Life Oak II,14-10946-116,L,건창기업
256,HF2-3,Life Oak,14-10946-116,NM,메라톤
257,B3-744,Life Oak II,14-10946-117,UK,
258,HF4-20,Life Oak,14-10946-117,BF,
259,HF2-4,Life Oak,14-10946-117,NM,메라톤
260,A39-818,Life Oak II,14-10946-117,TK,목림(유사 J)
261,B59-554,Life Oak II,14-10946-117,LV,건창기업
262,A25-836,Life Oak,14-10946-117,J,건창기업(유사 TK)
263,B45-42,Life Oak II,14-10946-117,L,건창기업
264,HF2-7,Life Oak,14-10946-118,NM,메라톤
265,B25-887,Life Oak II,14-10946-118,J,
266,B45-188,Life Oak II,14-10946-118,L,건창기업
267,EIR-001H,Life Oak II,14-10946-118,동조,
268,HF2-20,Life Oak II,14-10946-118(중복),NM,메라톤
269,B45-189,Life Oak II,14-10946-119,L,건창기업
270,B3-381,Life Oak II,14-10946-119,UK,
271,B25-888,Life Oak II,14-10946-119,J,
272,B25-889,Life Oak II,14-10946-120,J,
273,B45-190,Life Oak II,14-10946-120,L,건창기업
274,HF2-14,Life Oak,14-10946-120,NM,메라톤
275,B3-433,Life Oak II,14-10946-120,UK,
276,B25-890,Life Oak II,14-10946-122,J,
277,B59-561,Life Oak Ⅱ,14-10946-122,LV,건창기업
278,B25-891,Life Oak II,14-10946-123,J,
279,B45-468,Life Oak II,14-10946-123,L,
280,HF2-21,Life Oak II,14-10946-123,NM,메라톤
281,HF4-21,Life Oak,14-10946-124,BF,
282,HF2-15,Life Oak,14-10946-124,NM,메라톤
283,EIR-002H,Life Oak II,14-10946-124,동조,
284,B25-892,Life Oak II,14-10946-124,J,
285,B59-562,Life Oak Ⅱ,14-10946-125,LV,건창기업
286,B25-893,Life Oak II,14-10946-125,J,
287,B3-301,Life Oak ll,14-10946-125,UK,
288,B45-576,Life Oak,14-10946-125,L,
289,B3-293,Life Oak ll,14-10946-126,UK,목림
290,B25-894,Life Oak II,14-10946-126,J,
291,B45-577,Life Oak,14-10946-126,L,
292,B25-895,Life Oak II,14-10946-127,J,
293,B3-538,Life Oak II,14-10946-127,UK,
294,B45-842,Life Oak,14-10946-130,L,
295,HF2-46,Life Oak,14-10946-조색8,NM,
296,A3-860,Coimbra Esche,14-11028-001,UK,목림
